name,label
Radish;;Chilled  crushed20Kgpack;For food;;CHINA,7
깻잎,7
Cheongkyongchai dried; 건청경채후레이크 PRCHNA  모델규격  건조야채  103mm,7
건조한 강낭콩(KIDNEY BEAN),7
Leguminous vegetables pastechilled,7
Green pea mixed with carrot 22sweet corn 22 green bean 22 limMixed vegetables simplot classic,7
Taro stem dried,7
Dried mungbeans peeled,7
Kaledried; GREEN VEGETABLE ESSENCE,7
Kidney beandried,7
Sweet corn frozen,7
Potato frozen; STEAMED FROZEN POTATO PASTE,7
Jujubesdried;For food,8
Jujubes dried; JUJUBE with WALNUT,8
Coconut desiccated ; Low Fat Desiccated Coconut,8
Frozen Pineapple,8
Coconuts In the inner shell (endocarp); COCOEASY; THAILND,8
Mangoes dried; golden mango,8
Banana dried; FREEZE DRIED BANANA; THAILND,8
Prunes stoned ELLIOTT,8
Almond shelled; BLANCHED ALMOND; USA,8
Bitter melon ; KAMPCHA,8
Figs partly dried;MADE IN NATURE CALIMYRNA FIGS;USA,8
Black tea,9
Assam Tea,9
Tea partially fermented,9
Flavoured black tea,9
Oolong tea,9
Green tea; MATCHA; PRCHNA,9
Green tea; PECHE MIGNON; FRANCE,9
Red pepper powder; SB ASSORTED CHILI PEPPER NANAMI TOGARASHI 15g; JAPAN,9
Ginger,9
Green tea; MachaB; Powder; for food; Green tea powder 80 Maltodextrin 20; JAPAN,9
Red pepper crushed; 조미건조고추,9
Chili pepper crushed; sambal oelek; THAILND,9
Green tea flavoured; ZEN ICED TEA;SKU 11020800; USA,9
Fermented Tea; Sou Tsian Tea,9
Curry; Pure Indian Foods Organic Curry Powder,9
Green tea powder;;;JAPAN,9
Mixed spices; MEAT MASALA POWER;net wt 100g; INDIA,9
Natural Life S300;;;KR,10
Glutinous brown rice partially germinated;;;PRCHNA,10
Nonglutinous rice partially steamed; Steamed Parboiled ponni Rice,10
Hulled quinoa; TOASTED WHITE QUINOA;,10
Nonglutinous rice partially steamed; STEAMED RICE,10
Waxy corn;Frozen;For food;;PR CHNA,10
Other worked quinoa,10
Husked glutinous rice mixed with nonglutinous rice glutinous black rice barley soybean; Fermentation Mixture Cereals; RKOREA,10
Hulled quinoa ; PPERU,10
Nonglutinous rice partially steamed; STEAM BASMATI RICE,10
Nonglutinous rice partially steamed; ZEEBA CREAMY SELLA RICE,10
Nonglutinous rice partially steamed; NOORNOOR,10
Other worked red quinoa;; PPERU,10
Nonglutinous rice ; Risotto al pomodoro,10
Other worked quinoa ; PPERU,10
Sorghum powder;;;PRCHNA,11
Glutinous rice flour pregelatinized; GLUTINOUS RICE POWDER; RKOREA,11
Sweet potato starch;;Powder;For food;Sweet potato starch 88 arrow root starch 11 salt 05 MSG 05;PRCHNA,11
Jujube powder;;;PRCHNA,11
Oat bran meal(organic oat bran),11
Millet flour pregelatinised;;;PRCHNA,11
Wheat flour; T65 FROMENTINE,11
Raspberry powder,11
Other worked grains of oats; CANADA,11
Maize (corn) flour pregelatinized; MULTIREX MTXSPC,11
Super Sweet Corn Powder US; USA,11
Wheat meal; MALT O MEAL ORIGINAL; USA,11
Corn starch; Starcap 1500 CoProcessed Starch Excipient 3001; USA,11
Barley flourpregelatinised;;;PRCHNA,11
Corn meal;; USA,11
Buckwheat flour; Roasted buckwheat flour,11
Hulled quinoa; PPERU,11
Oat rolled; OATS TRADITIONAL FLAKES,11
Rice groats and meal; 현미숭늉,11
Hulled quinoa; USA,11
Cassava powder; VIETNAM,11
Mung bean powder ; MYANMAR,11
Oat other worked(신청품명  유기농귀리속피),11
Cassava starch,11
Grain sorghum hulled;수수;;;;RKOREA,11
Wheat flour; ORGANIC ALL PURPOSE FLOUR; USA,11
Barley partially roasted; ROAST BARLEY TEA; RKOREA,11
가마솥 누룽지차,11
Manioc(cassava) starch ; NATIVE TAPIOCA STARCH INDUSTRIAL GRADE ; Tailand,11
Manioc(cassava) flour; CASSAVA RESIDUE POWDER,11
Hulled quinoa; TOASTED WHITE QUINOA;,11
Coicis semen powder;,11
Cassava(Manioc) starch ; Native Tapioca Starch;;;THAILND,11
Oatrolled;;Oat traditional;;;AUSTRAL,11
Sweet Potato Powder; PRCHNA,11
Wheathulled ;;;PRCHINA,11
Barley flour with rye flour sugar salt; BF MIX; GERMANY,11
Oat pellet; 귀리 펠렛; Australia,11
Artemisiae asiaticae herba Dried For feed,12
Seeds of herbaceous plants; 씨드스틱; 43cm x 165cm;,12
Red ginseng; 발효흑삼 추출물 가루,12
Cozy Chamomile All Natural Herb Tea,12
Raw ginseng; 새싹삼,12
Rubus suavissimus SLeedried Sweet tea,12
Parsley pen,12
Lmeyenii walpers,12
Basil seeds; 씨앗카드; 100155mm; RKOREA,12
Sea tangle in powder dried; KELP POWDER,12
Astragrlus Membranaceus Seeds 황기종자,12
Seeds; PAPER GARDEN PRINTING POST CARD; RKOREA,12
Bignoniaceae Bark; TAHEEBO TEA,12
Boragedried ; Organic Borage Herbal Tea,12
Biotae orientalis folium,12
Sesamum seeds; For food,12
Groundnuts shelled; Light Color High Oleic Lot 3125; ARGENTN,12
Rhodiola Sachinensia root,12
Quillaja saponaria powder,12
Soya beans,12
Soybean powder,12
Organic Olive tree Herbal Tea,12
Soybeans ; Fermentation Black Soys Bean ; RKOREA,12
Soybean(Small seed with black testa); ROASTED BLACK BEAN,12
Locust beans(carob); raw carob flour; GREECE,12
Sesame Seed; ROASTED SESAME SEEDS; ROASTED WHITE SESAME SEEDS,12
Laver dried ; SEAWEED LAVER ; RKOREA,12
Calcified seaweed;Superal; 슈퍼랄 ; Brazil,12
Dried moringa leaf; Moringa Leaves,12
PSYLLIUM HUSK POWDER ; ISABGO PLANTAGO OVATA,12
Vegetable extracts; REDDOX; ITALY,13
Compound extracts; 보음익기전,13
Camucamu extract;CAMU CAMU DRY EXTRACT;Light pink powder;;Camucamu extract (containing vitamin C)maltodextrinetc;SANRISILBRAZIL,13
Extracts of heading 1211; Pepermint extract(페퍼민트잎 추출물),13
Yucca schidigera extract; Pool Clear 1010,13
Red ginseng extract; 압축 흑삼,13
Vegetable extract; SpiCan  Advantage(15 Total Polyphenols); CANADA,13
Phellinus linteus mycelia extract powder (Mesima Extract Powder),13
Schisandrae Fructus extract of heading 1211; 오미자농축분말; RKOREA,13
Ginseng extract; Ginseng Flower Extract BG70; JAPAN,13
Pectins;KYD 3;;;GERMANY,13
Camellia japonica seed extract powder; JAPAN,13
Vegetable extract;FNQ,13
Fructus momordicae extract,13
Aloe vera sap powder; ALOE VERA GEL POWDER,13
Pine needle extract ; liquid,13
Vegetable extract; BroCan  Advantage(05 Total Glucoraphanins); CANADA,13
Koyaku Mucilages Powder,13
Vegetable extract,13
Vegetable products; FOR COW; USA,14
Almond shell; USA,14
Casaba stem crushed dried; CASABA POLE SAW DUST; VIETNAM,14
Cassava leaf and stem cutted dried,14
Algal oil preparation; LIFES DHA O2412O100; USA,15
Shortening SoficalBeta,15
Rice bran oil preparation;JAPAN,15
Anchovy oil reesterified; Omega3 Acid Ethyl Esters TG300200,15
Vegetable oil preparation; ONION SEASONING OIL; PRCHNA,15
Shortening; CREAMELT703,15
Tenebrio molitor larvae oil; YNOIL,15
Vegetable oil preparation,15
Inedible mixtures of vegetable oils; Phyto horse oil; RKOREA,15
Partially hydrogenated soybean oil mixed with salt ecithin WHIRL,15
Fish oil preparation; GOLDEN OIL; 60capsulesbtl;For food; Fish oil 806 lecithin 14 glycerin Vitamin E carotene Etc;USA,15
Oil of camel hump; MONGOLI,15
Vegetable oil; Veramaris,15
Hemp seed oil;Prairie Emerald Oil,15
Snake oil,15
Fish oil in capsules;SEMO SMOOTH;150Capsulescase;For food suppl ement;Refined tuna oil;SEMO RKOREA,15
Margarine,15
Soybean oil partially hydrogenated mixed with polyglycerol ester STERLING SALAD OIL,15
Edible mixtures of animal or vegetable oils; Arachidonic acid and Docosahexaenoic acid mixed oil; ADOGF10B,15
Evening primrose oil preparation,15
Preparations of reesterified fish oil; OMEVITAL 3322 TG ULTRA,15
Preparation of Vegetable oil,15
Prepared Chicken with vegetable sauce; Glayed Breast of Chicken,16
Pork preparations; BABY BACK RIBS WITH SWEET  SMOKY BBQ SAUCE,16
Fish preparation,16
Tunaloin prepared frozen Frozen tuna loin,16
Sausage preparation Corndog,16
Beef Preparations 6 MiniBurgers,16
Ham prepared;;;USA,16
삼미번데기 통조림,16
Prepared edible bovine fraction,16
Seasoned squidLoliolus beka(Loligo beka); SEASONED BEKA SQUID,16
Sausages ; OVEN SMOKED DELI TURKEY ; USA,16
Salmon fried,16
Salmon preparation frozen; FROZEN SALMON BELLY FOR SUSHI,16
냉동 참치로인의 HS 품목분류 회신,16
Shrimp preparation; FROZEN MENBOSHA SHRIMP; VIETNAM,16
Conger eel preparation frozen,16
Beef preparation; Bone in chunk rib soup 45cm; THAILND,16
칠면조 포,16
Prepared shrimps frozen and not in airtight container; FROZEN BLANCHED VANNAMEI SHRIMP FOR SUSHI (AMA STYLE); VIETNAM,16
Sausage; Cooked Sausage,16
Hot Dog,16
Prepared salmon;;;JAPAN,16
Fish preparation Visnuggets,16
Globus Sliced Bacon,16
Shrimp preparation; BLANCHED VANNAMEI BELLY CUT 4150; VIETNAM,16
Beef preparation,16
Sausage; JACK BITES SWEETHOT FLAVOR; NEWZLND,16
Squid preparation frozen; PRCHNA,16
Beef preparation,16
Sausages(Beef Frank),16
Chicken Pie,16
Sausage preparation; PRETZEL DOG SOFT PRETZEL MINI HOT DOG; USA,16
Mussels boiled; Cooked Gourmet Mussels; NEWZLND,16
Beef bone extract powder,16
Swine preparation ; HORMEL Fully Cooked Bacon ; USA,16
Sardine preparation;;Dried15gbag;For food;Small sardine 7469 sugar 216 soy sauce 37 salt 001;JPJAPAN,16
Fish preparation; 와다시잔마이,16
Beef preparation Beef jerky,16
Viper Extract,16
Artificial honey(Honey powder),17
Sugar confectionery; 토루케루 이찌고; JAPAN,17
Sugar syrup; DEIONIZED PEAR JUICE CONCENTRATE; VPRBC005FAC; VIETNAM,17
SUCROSE MIXED WITH MALTOSE GREEN TEA,17
Candy FISHERMANS FRIEND ANISEED FLAVOURED LOZENGES,17
Other sugar; CSR RAW SUGAR; AUSTRAL,17
High test cane molasses ,17
Other sugar syrup; inversweet; THAILND,17
Sugar confectionery; 바스락 크레용신짱빙빙(딸기),17
Paste based on sugar;Designer Dessert Sauce;Net weight 16 OZbottle,17
Sugar confectionery;TURKISH DELIGHT WALNUT;250gbox;For food;Sugar 58walnut30corn starch 8water 4;TURKEY,17
Maltodextrin; Glucidex 19,17
Candy Eyelume,17
Maltodextrin KGFIBRE,17
Sugar confectionery;Oatmeal raisin bar,17
Maltodextrin Glycofactor,17
Glucose syrup;GRAPSY;;ITALY,17
Sugar confectionery Peanut butter flavored drops,17
Other sugar; BRAZIL,17
Sugar confectionery; Nougat Blocks; BELGIUM,17
Gum(Stimorol coolmint),17
Drops,17
Galactooligosaccharide; Bioligo GL4630; RKOREA,17
Organic Crystallized Cane Juice,17
Sugar;;;MALAYA,17
Sugar confectionery,17
Other sugars; LOTE 12 196 1 GA A600,17
prepared Sugar confectionery Brittle,17
Other sugars; Oligofructose;RAFTIFEED  OLS;For feed;BELGIUM,17
Cocoa preparation; 초콜라또 티라미슈,18
Other food preparations containing cocoa; Cookie and Cream Frappe; RKOREA,18
Chocolate spread Chocolate Fudge topping,18
Chocolate confectionery,18
Chocolate confectionery,18
Chocolate spread Chocolate Fudge flavor,18
Chocolate Football,18
Chocolate confectionery; HERSHEY WHOPPERS; 49G; USA,18
Cocoa preparation; BAHAMA BLAST MOCHACCINO ARTIFICIALLY FLAVORED SMOOTHIE CONCENTRATE,18
food preparations containing cocoa; Ares Greentea Mint Chocochip Powder,18
Cocoa preparations; Helt honey with hazelnut and cocoa; DENMARK,18
Toasted rice cereal 35 mixed with chocolate paste cocoa powder RICE KRISPIES TREATS,18
Chocolate confectionery; HAWAIIAN HOST MANGO CHOCOLATE,18
Cocoa preparation ; SWISS MISS HOT COCOA GIFT TIN(FRENCH VANILLA) ; USA,18
Chocolate,18
Food preparaiton containing Cocoa,18
Cocoa preparation Chocolate pudding compound,18
Other food preparations containing cocoa; VITAL CASHEW AND CHOCOLATE; CANADA,18
Chocolate confectionery; Low Sugar Almond Hazulnut Chocolate,18
Chocolate confectionary,18
Cocoa preparation;TEECCINO MOCHA;;;USA,18
Doughs for the preparation of bakers wares,19
Food preparations of goods of headings 0401 to 0404; 가공탈지분HT RKOREA,19
Rice flour preparation; Superex Instant Rice Kernels;;;NETHERL,19
Crispbread; RYE CRISPBREAD; FINLAND,19
Preparation of bakers wares ; Kraft Korn Ancient Grains ; GERMANY,19
Buckwheat powderroasted;;For food;Buckwheat 100;CHINA,19
Milk solids 775 mixed with cheese solids 169 salt 31,19
Steamed rice; HEERA PURE AGED BASMATI RICE; INDIA,19
Cake; KINDERPINGUI; GERMANY,19
Pasta preparation; WOULD U COOK Bibim makguksu kit(우주쿡 비빔막국수 키트),19
Crackers; Crisp baked crackers with garlic; ISRAEL,19
Pasta(Kids Kitchen Mini Beef Ravioli),19
Cassava starch cake precooked;수정떡;;;PRCHNA,19
Barley precooked;;Barley 100RKOREA,19
Bakers wares; FROZEN OCTOPUS BALL,19
Swelled Snack;;for food;;KOREA,19
Wheat flour preparation; MIXTURE FOR BAKING CAKES 자색고구마; RKOREA,19
Lasagne; VEGETABLE LASAGNA WITH EMMENTAL CHEESE; SPAIN,19
Riceprecooked;;;For food;Rice 100;PR CHINA,19
Puffed Quinoa; Golden Quinoa Toasted; CANADA,19
Similar toasted products ; SKORPOR KARDEMUMMA ; SWEDEN,19
Buckwheat flour preparation;NOODLE PREMIXBUCKWHEAT POWDER ONE;For food,19
Infant Food Preparation (Bambix Biscuit),19
Sweet biscuits; KENJI CHOCOLATE CHIPS; TAIWAN,19
Rice flour preparation; MINI RICE BALLS,19
Flour Preaparation for Snack(Snack Pellet 100),19
Millet swelled; JAPANESE MILLET SNACK(KEWPIE BRAND BABYINFANT FOOD); F41; Japan,19
Biscuit;STICK BISCUITS;For food;Wheat flour 598sugar 176vegetable oil 102shortening 53glucose 21yeast 01saltetc;JAPAN,19
Wheat cooked,19
Sweet biscuit; KEWPIE SESAME BISCUIT; SO07; JAPAN,19
Glutinous rice starch preparation;;;THAILND,19
Mixes and doughs for the preparation of bakers wares of heading 1905; QTELA CHIP,19
Doughts for the preparation of bakers ware frozen; Dough; SNGAPOR,19
Glutinous riceprecooked;;For food;Glutinous rice 100;CHINA,19
Baked wheat flakes; WEETBIX; AUSTRAL,19
Mixes and doughs for the preparation of bakers wares of heading 1905; Kids ball,19
Doughs for preparation of bakers ware frozen;피자맛 롤 꼬지;;PRCHNA,19
Food preparations of goods of headings 0401 to 0404; 허니타볼 당근; RKOREA,19
Steamed nonglutinous ricedried;;;PRCHNA,19
볶은 옥수수 분류기준,19
Mixes for the preparation of bakers wares; Berriesn Chocolate Cookie Mix; USA,19
Italian bread shell BOBOLI Brand,19
Pasta; Fusilli with Tomato,19
Prepared foods obtained by the swelling or roasting of cereals or cereal products; MIXED GRAINS POWDER,19
Wheat Flour Preparation; KNORR MOND ROUX LIGHT,19
Milk preparation; MIL POWDER OWL181 KE,19
Noodle;FROZEN NOODLE,19
Glutinous riceprecooked;;;For food;Glutinous rice 100;PRCHNA,19
Rice flour preparation; SESAME RICE BALL,19
Food preparation of goods of heading 0401 to 0404; 크림버터분말,19
Black rice 50 mixed with black bean 26 black sesame 18 black,19
Bakers ware with laver; LAVER SNACK(HOT CHILLI),19
Cake; ORIGINAL CHEESECAKE; USA,19
Ramen; 쿡탐 오징어짬뽕맛 국물라볶이,19
Pizza Panzerotti Pepperoni,19
Puffed black corn powder,19
Nonglutinous rice steamed,19
Pasta Stuffed Shrimp Wonton,19
Pizza,19
Acorn starch preparation; 도토리조제전분; PRCHNA,19
Cooked rice; Massanman Curry chicken with jasmine rice; THAILAND,19
Instant noodle;HAKATA RAMEN;JAPAN,19
Milk preparations ; Torta W;;GERMANY,19
Wheat starch powder preparation,19
Other bakers wares; GOUDA ROMANO QUINOA CHIPS; USA,19
Food preparations of goods of headings 0401 to 0404; Sterilized Recombined Flavoured Milk for Cooking and Bakery; Falcon Brand; THAILND,19
Lasagne; TUNA LASAGNA WITH EMMENTAL CHEESE; SPAIN,19
Wafer decoration; Edible yellow wafer shaving; HGKONG,19
Bread; SELECT ASSORTIMENT; SPAIN,19
PastryBEEF  BEAN GREEN CHILI BURRITO;Frozen5ozpack;For food; Wheat flour 3112soybean oil236cooked pinto beans1942cooked beef758green chilies228textured vegetable protein106etc; USA,19
Buckwheat roasted,19
Food preparations of goods of headings 0401 to 0404; Panna cotta; ITALY,19
Stuffed Pasta사과속춘권,19
Other bakers wares; DORITOS NACHO CHEESE; USA,19
Popcorn preparation puffed ; TOASTED COCONUT CARAMEL POPCORN; USA,19
Bread; SMALL BAGUETTES; SPAIN,19
Sweet biscuits; PEANUT CHOCO STICK; RKOREA,19
Other biscuits; EDWARD MARC DARK CHOCOLATE PRETZELS; USA,19
Sweet potato starch preparation;;Powder;For food;Sweet potato starch 885 maltodextrin 85 MSG 2 salt 1;PRCHNA,19
MALT EXTRACT ; ; GERMANY,19
Popcorn preparation puffed; INDI XYLITOL ICE POPCORN; RKOREA,19
Puffed rice;;;PRCHNA,19
Steamed rice; 알파미; JAPAN,19
Bakery Stuffed With Fruit Jam,19
Rice preparation,19
Cereal preparations; BOCKER Multigrains,19
Acai powder preparation; ACAIBERRY POWDER; BRAZIL,19
Baker s wares preparation,19
Mixes for the preparation of bakers wares; Ghirardelli Triple Chocolate Brownie Mix; USA,19
Pasta preparation; WOULD U COOK JAPCHAE KIT,19
Bakers ware;;26gbag;For food;Nonglutinous rice 435 sesame 348 corn starch 13 say sauce 62 sugar 21 dextrin 02 yeast extract 01 potato starch 01;JPJAPAN,19
Milk preparation;FLASH 5 SHAKE;Powder425gpack;Skim milk powder 35 sugar 272 whey protein 6 fructose 5 soybean oil 4 lecithin 2 etc;CANADA,19
Sweet biscuit ; KEX Biscuits ; SWEDEN,19
Cookies; Cranberry  raisin pastry bites; ISRAEL,19
Chinese Vermicelli Longkow Vermicelli,19
Bakers ware,19
Corn tortilla chip,19
Steamed glutinous rice dried;;;PRCHNA,19
Glutinous rice cakesprecooked;;Block;For food;Glutinous rice 100;PRCHNA,19
Rice preparation precooked; TOM YUM KOONG FRIED RICE; THAILND,19
Quinoa roasted; TOASTED BLACK QUINOA;,19
Precooked rice(Bumped rice),19
Rice flour preparationLAZIZA KHEER MIX;Net 155gpaper box;;PAKISTN,19
Glutinous rice preparation;PRCHNA,19
Rusks; Tsujiri Kyocharusk assortment No 10,19
Musli type preparations; HAHNE PREMIUM MUESLI FRUIT CONTENT,19
Rice paper; HYDGAP4035; VIETNAM,19
Almond powder preparation,19
Acorn starch preparation,19
Tapioca starch preparation,19
Food preparations of rice flour; EROM SAENGSHIK UP;,19
Instant noodles; SAMLIP SANUKI UDON 3 PACKS),19
Food additives (Special Spice Chicken Breading),19
Almond powder preparations,19
Brown ricesteamed and roasted;;Groats;For food;Brown rice 100;PRCHNA,19
Muesli Crunchy,19
Prepared foods obtained by the swelling of cereal products; Choco Crunch 2X Vitamins 15X Minerals; BELGIUM,19
Rice flour preparation for bakers wares;RICE BUGLES PELLET;;PRCHINA,19
Preparation for bakers wares; PRAWN CRACKERS; VIETNAM,19
Prepared foods obtained by the swelling of cereal products; GORGONZOLA CHEESE SOFT CORN,19
Wheat prepared(신청품명  Black wheat),19
Tapioca starch preparation,19
Preparation for infant use; INFATRINI; GERMANY,19
Similar products made by cooking from starch pastes; Oblate; JAPAN,19
Food preparations of goods of headings 0401 to 0404 fat content is not exceeding 30; 혼합전지분유1,19
Sesame preparations 김녹차베이스;;JAPAN,20
Prepared vegetablefrozen;브로콜리 롤;;;PRCHINA,20
Peach Preparation,20
Morello cherry preparation;GRITTINES,20
Grapefruit juice; Grapefruit juice syrup(자몽시럽); TAIWAN,20
Mixtures of juice; Crystal Falls AppleCarrot Juice 1LT; SAFR,20
Mango preserved by osmotic dehydration; Royal Dried Mango Low Sugar 45g,20
Otherwise prepared or preserved aloe vera gel,20
Gac preparation; Sterillized Gac Fruit Puree(목별 퓨레),20
Macadamia nuts large diced,20
Mixtures of fruit juices;;Thailand Noni;;;THAILND,20
Mustard green preparation; Pickled mustard green; THAILND,20
Vegetable preparations; PRCHNA,20
Walnutmeats roasted  salted,20
Sesame preparations;Sesame Bars with honey,20
Mixtures of Juices;;미스티카;;;USA,20
Sesame preparation,20
Mango juice ; PHIL BRAND 100 MANGO JUICE ; PHIL R,20
Food preparation;Smuckers Goober chocolate;Paste; for food;Peanut butter 558 Sugar 164 Water 109 Skim milk 101Dextrose 27 Cocoa Vegetable monoglyceride 07 Pectin 06 Salt 05 Potassium sorbate etc; AUSTRAL,20
Fruit juices mixture Pear Grape Mixed fruit concentrate,20
Mixed fruit juice Orangekiwipassionfruit drink base,20
Sesame preparation; 고단백 흑임자죽,20
Coconut preparation; DRIED COCONUT; THAILND,20
Mixed fruit juice Caribbean colada drink base,20
Nuts preparation; Country cashew,20
Garlic stem preparation; 마늘쫑지(PICKLED STEM OF GARLIC); PRCHNA,20
Sesame Preparation;for food,20
Potato flake preparation;GLC1000;Powder;For food;Potato flake 783 potato starch 105 powdered sugar 85 emulsifier 12 ;USA,20
Fruit Preparation; BLUEBERRY PREPARATION,20
Sweet potatos paste 냉동증숙고구마,20
Mixture of fruit and vegetable juice; FRUTOS DE VIA PINEAPPLE CELERY AND NOPAL JUICE; MEXICO,20
Blueberry Multi Filling,20
Carrot preparation,20
Corn cooked,20
Eggplantprepared by vinegar,20
Mixture of fruit  vegetable juice; Pear Extract (목애 배 도라지 진액); RKOREA,20
Peaches preparation; SLICED PEACHES,20
Strawberry preparations; STRAWBERRY FGR 2575; GERMANY,20
Almond preparation; MATCHAA ALMOND; JAPAN,20
Mixed fruits preparation; MOGLI MOOTHIE APPLEBANANASTRAWBERRY; GERMANY,20
Soybean preparation; 대두단백분(습법),20
Kidney bean preparation,20
Sweet potato preparation;Osatsuchip;;JAPAN,20
Vegetable preparation frozen; VEGETABLE NET SPRING ROLL; VIETNAM,20
Apple preparation,20
참깨엿,20
western Trail,20
Groundnuts preparation; NATURE VALLEY SWEET  SALTY NUT GRANOLA BARS PEANUT,20
Apple chips crispy,20
Kiwi preparation; FROZEN GREEN KIWIFRUIT PUREE SINGLE STRENGTH; NEWZLAN,20
Cherries preparation; ORGANIC DRIED TART MONTMORENCY CHERRIES; USA,20
Cooked black bean powder,20
Mixtures of grape juice,20
Otherwise prepared or preserved aloe vera gel,20
Walnut  Honey roasted,20
Mixed nuts preparation;ORGANIC FEEL N GOOD MIX,20
Apricot jam; APRICOT EXTRA JAM,20
Sweet potato preparation ; Sweet potato chips ; PRCHNA,20
Mixtures of fruit juices,20
Peanut butter Peanut  Grape Jelly,20
Vegetable preparation,20
Peanutroasted,20
Cooked sweet potato frozen; PRCHNA,20
Mango preparations; MANGO PUREE; PHILR,20
Mushroom preparations(버섯미인 노루궁뎅이),20
Peaches preparations; LONGBEACH PEACH PUREE LBPPEACH,20
Black sesame preparatioin; INDIA,20
Apple juice; CRISP APPLE; USA,20
Prune paste,20
Durian preparations(신청품명 ; DURIAN CHIP),20
Fruit juice concentrated,20
Vegetable preparation dried; DRIED KIMCHI FLAKES; PRCHNA,20
Leguminous preparations; 슈퍼4곡혼합분말,20
Citron preparation; CITRON HONEY TEA,20
Citrus fruit preparation;뚜또 화이트밀감 250;;RKOREA,20
Mango juice; 애플망고퓨레,20
ROASTED GARLIC HOMMUS,20
Potato preparation frozen ; POTATO GRATIN DEEP FROZEN,20
Passion fruit preparations; FROZEN PASSION FRUIT PUREE; VIETNAM,20
Onion preparations; SOUCHEF FRENCH ONION DEMI; USA,20
Hazelnut preparations; Hazelnut Paste,20
Watermelon juice; WATERMELON JUICE SYRUP; TAIWAN,20
Other vegetable preparation; EGARAL BLACKGARLIC GANGSAN,20
